order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,customer_name,segment,age,country,city,state,postal_code,region,category,sub_category,product_name
2832,CA-2014-148915,01-11-2014,05-11-2014,Standard Class,ND-18370,OFF-ST-10001128,443.92,5,0.2,-94.333,Natalie DeCherney,Consumer,41,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,Carina Mini System Audio Rack  Model AR050B
2833,CA-2014-148915,01-11-2014,05-11-2014,Standard Class,ND-18370,TEC-PH-10000673,155.976,3,0.2,54.5916,Natalie DeCherney,Consumer,41,United States,Louisville,Kentucky,40214,South,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset
2834,CA-2017-134649,26-01-2017,31-01-2017,Second Class,CA-11965,OFF-AR-10001547,15.47,7,0,4.1769,Carol Adams,Corporate,19,United States,Hoover,Alabama,35244,South,Office Supplies,Art,Newell 311
2835,CA-2017-134649,26-01-2017,31-01-2017,Second Class,CA-11965,OFF-BI-10001890,7.16,2,0,3.4368,Carol Adams,Corporate,19,United States,Hoover,Alabama,35244,South,Office Supplies,Binders,Avery Poly Binder Pockets
2836,CA-2017-110842,11-11-2017,16-11-2017,Standard Class,GA-14725,OFF-AP-10003971,10.89,1,0,2.8314,Guy Armstrong,Consumer,32,United States,Lorain,Ohio,44052,East,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip
2837,CA-2017-110842,11-11-2017,16-11-2017,Standard Class,GA-14725,OFF-PA-10000520,19.44,3,0,9.3312,Guy Armstrong,Consumer,32,United States,Lorain,Ohio,44052,East,Office Supplies,Paper,Xerox 201
2838,CA-2017-110842,11-11-2017,16-11-2017,Standard Class,GA-14725,OFF-BI-10000977,121.6,5,0.2,39.52,Guy Armstrong,Consumer,32,United States,Lorain,Ohio,44052,East,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs
2839,CA-2016-147368,09-06-2016,12-06-2016,First Class,TC-21295,TEC-MA-10002178,695.7,2,0.5,-27.828,Toby Carlisle,Consumer,31,United States,San Diego,California,92024,West,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone
2840,US-2015-104185,03-09-2015,08-09-2015,Second Class,JB-15400,OFF-ST-10001526,120.33,1,0,31.2858,Jennifer Braxton,Corporate,39,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart 
2841,US-2014-125521,14-03-2014,19-03-2014,Standard Class,CK-12325,FUR-CH-10003379,1139.92,4,0,284.98,Christine Kargatis,Home Office,53,United States,Orem,Utah,84057,West,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs
2842,US-2017-135062,31-08-2017,04-09-2017,Second Class,RL-19615,OFF-PA-10000100,229.544,7,0.2,83.2097,Rob Lucas,Consumer,53,United States,Montgomery,Alabama,36116,South,Office Supplies,Paper,Xerox 1945
2843,CA-2017-135650,23-03-2017,27-03-2017,Standard Class,AC-10660,OFF-ST-10001809,143.728,2,0.2,-32.3388,Anna Chung,Consumer,30,United States,Huntsville,Texas,77340,Central,Office Supplies,Storage,Fellowes Officeware Wire Shelving
2844,CA-2017-112865,18-05-2017,22-05-2017,Standard Class,BH-11710,TEC-AC-10000387,36.048,3,0.2,-0.9012,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black
2845,US-2016-162852,27-12-2016,31-12-2016,Standard Class,BG-11695,FUR-CH-10004853,845.488,8,0.3,-12.0784,Brooke Gillingham,Corporate,46,United States,Cincinnati,Ohio,45231,East,Furniture,Chairs,Global Managers Adjustable Task Chair  Storm
2846,CA-2017-138163,17-11-2017,20-11-2017,First Class,XP-21865,OFF-AR-10001958,50.94,3,0,14.2632,Xylona Preis,Consumer,32,United States,San Diego,California,92024,West,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
2847,CA-2017-152093,10-09-2017,15-09-2017,Standard Class,SN-20560,OFF-BI-10003527,762.594,3,0.8,-1143.891,Skye Norling,Home Office,65,United States,Los Angeles,California,90008,West,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
2848,CA-2017-157854,08-04-2017,15-04-2017,Standard Class,DM-13345,FUR-FU-10003832,56.28,6,0,15.7584,Denise Monton,Corporate,46,United States,Roswell,Georgia,30076,South,Furniture,Furnishings,Eldon Expressions Punched Metal & Wood Desk Accessories  Black & Cherry
2849,CA-2017-157854,08-04-2017,15-04-2017,Standard Class,DM-13345,OFF-BI-10001359,2690.97,3,0,1264.7559,Denise Monton,Corporate,46,United States,Roswell,Georgia,30076,South,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System
2850,CA-2016-123617,28-11-2016,03-12-2016,Standard Class,AJ-10780,OFF-BI-10002976,7.434,6,0.7,-5.6994,Anthony Jacobs,Corporate,47,United States,Springfield,Virginia,22153,South,Office Supplies,Binders,ACCOHIDE Binder by Acco
2851,US-2016-128293,02-06-2016,05-06-2016,First Class,KC-16255,OFF-ST-10000736,64.784,1,0.2,-12.9568,Karen Carlisle,Corporate,23,United States,San Francisco,California,94110,West,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black
2852,CA-2017-107342,17-12-2017,22-12-2017,Standard Class,VF-21715,OFF-PA-10001745,28.16,4,0,13.2352,Vicky Freymann,Home Office,59,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,Wirebound Message Books  2 7/8 x 5  3 Forms per Page
2853,CA-2016-136371,19-03-2016,21-03-2016,Second Class,SV-20935,FUR-FU-10000409,14.98,1,0,6.8908,Susan Vittorini,Consumer,53,United States,New York City,New York,10009,East,Furniture,Furnishings,GE 4 Foot Flourescent Tube  40 Watt
2854,CA-2016-136371,19-03-2016,21-03-2016,Second Class,SV-20935,FUR-FU-10000221,20.32,4,0,6.9088,Susan Vittorini,Consumer,53,United States,New York City,New York,10009,East,Furniture,Furnishings,Master Caster Door Stop  Brown
2855,CA-2017-137344,20-08-2017,20-08-2017,Same Day,EM-13810,OFF-ST-10000344,40.29,3,0,10.4754,Eleni McCrary,Corporate,59,United States,Los Angeles,California,90036,West,Office Supplies,Storage,Neat Ideas Personal Hanging Folder Files  Black
2856,CA-2017-169810,25-07-2017,31-07-2017,Standard Class,RB-19360,OFF-LA-10003663,20.23,7,0,9.5081,Raymond Buch,Consumer,70,United States,Auburn,New York,13021,East,Office Supplies,Labels,Avery 498
2857,CA-2016-128594,26-08-2016,29-08-2016,First Class,DJ-13510,FUR-CH-10001215,1603.136,4,0.2,100.196,Don Jones,Corporate,67,United States,Murfreesboro,Tennessee,37130,South,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter
2858,CA-2016-154690,15-08-2016,17-08-2016,Second Class,CC-12370,FUR-CH-10000988,225.296,2,0.2,22.5296,Christopher Conant,Consumer,38,United States,Fayetteville,North Carolina,28314,South,Furniture,Chairs,Hon Olson Stacker Stools
2859,CA-2017-138975,19-05-2017,23-05-2017,Standard Class,SC-20380,TEC-AC-10003441,67.8,4,0,4.068,Shahid Collister,Consumer,68,United States,Seattle,Washington,98115,West,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0
2860,CA-2017-138975,19-05-2017,23-05-2017,Standard Class,SC-20380,TEC-PH-10004389,377.97,3,0,98.2722,Shahid Collister,Consumer,68,United States,Seattle,Washington,98115,West,Technology,Phones,Nokia Lumia 925
2861,CA-2017-138975,19-05-2017,23-05-2017,Standard Class,SC-20380,FUR-BO-10004695,1628.82,9,0,374.6286,Shahid Collister,Consumer,68,United States,Seattle,Washington,98115,West,Furniture,Bookcases,OSullivan 2-Door Barrister Bookcase in Odessa Pine
2862,CA-2017-138975,19-05-2017,23-05-2017,Standard Class,SC-20380,OFF-PA-10000100,286.93,7,0,140.5957,Shahid Collister,Consumer,68,United States,Seattle,Washington,98115,West,Office Supplies,Paper,Xerox 1945
2863,CA-2017-106537,12-08-2017,17-08-2017,Standard Class,RH-19495,OFF-PA-10000223,20.736,4,0.2,7.2576,Rick Hansen,Consumer,19,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,Xerox 2000
2864,US-2017-103828,13-08-2017,13-08-2017,Same Day,JK-15370,OFF-ST-10001325,31.44,3,0,8.4888,Jay Kimmel,Consumer,27,United States,Long Beach,California,90805,West,Office Supplies,Storage,Sterilite Officeware Hinged File Box
2865,US-2017-103828,13-08-2017,13-08-2017,Same Day,JK-15370,OFF-AP-10004249,83.79,7,0,22.6233,Jay Kimmel,Consumer,27,United States,Long Beach,California,90805,West,Office Supplies,Appliances,Staple holder
2866,US-2017-103828,13-08-2017,13-08-2017,Same Day,JK-15370,OFF-AR-10000588,59.52,3,0,15.4752,Jay Kimmel,Consumer,27,United States,Long Beach,California,90805,West,Office Supplies,Art,Newell 345
2867,US-2017-103828,13-08-2017,13-08-2017,Same Day,JK-15370,OFF-SU-10000946,31.92,4,0,9.2568,Jay Kimmel,Consumer,27,United States,Long Beach,California,90805,West,Office Supplies,Supplies,Staple remover
2868,CA-2016-115588,10-11-2016,12-11-2016,Second Class,AF-10885,OFF-SU-10001225,14.72,5,0.2,-3.312,Art Foster,Consumer,40,United States,Louisville,Kentucky,40214,South,Office Supplies,Supplies,Staple remover
2869,CA-2016-115588,10-11-2016,12-11-2016,Second Class,AF-10885,OFF-ST-10001558,38.976,3,0.2,-2.436,Art Foster,Consumer,40,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers
2870,CA-2017-143861,12-06-2017,19-06-2017,Standard Class,LC-16885,FUR-FU-10001546,17.088,2,0.2,1.068,Lena Creighton,Consumer,31,United States,Roseville,California,95661,West,Furniture,Furnishings,Dana Swing-Arm Lamps
2871,CA-2014-148040,22-03-2014,26-03-2014,Standard Class,BF-11275,OFF-PA-10002581,74.352,3,0.2,23.235,Beth Fritzler,Corporate,21,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,Xerox 1951
2872,CA-2014-148040,22-03-2014,26-03-2014,Standard Class,BF-11275,FUR-CH-10001482,314.352,3,0.2,-35.3646,Beth Fritzler,Corporate,21,United States,Tucson,Arizona,85705,West,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat
2873,CA-2017-135167,15-06-2017,20-06-2017,Standard Class,SC-20800,OFF-AR-10002399,4.26,1,0,1.7466,Stuart Calhoun,Consumer,20,United States,Houston,Texas,77041,Central,Office Supplies,Art,Dixon Prang Watercolor Pencils  10-Color Set with Brush
2874,CA-2017-137022,16-11-2017,22-11-2017,Standard Class,SW-20275,OFF-ST-10001963,811.28,8,0,24.3384,Scott Williamson,Consumer,35,United States,Jackson,Mississippi,39212,South,Office Supplies,Storage,Tennsco Regal Shelving Units
2875,US-2017-102638,29-12-2017,31-12-2017,First Class,MC-17845,OFF-FA-10002988,6.03,3,0,2.9547,Michael Chen,Consumer,50,United States,Jackson,Mississippi,39212,South,Office Supplies,Fasteners,Ideal Clamps
2876,US-2016-167339,21-01-2016,23-01-2016,Second Class,TD-20995,FUR-CH-10004289,153.568,2,0.2,-5.7588,Tamara Dahlen,Consumer,19,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,Global Super Steno Chair
2877,US-2016-167339,21-01-2016,23-01-2016,Second Class,TD-20995,FUR-CH-10000785,1013.488,7,0.2,76.0116,Tamara Dahlen,Consumer,19,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,Global Ergonomic Managers Chair
2878,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,OFF-EN-10003040,52.34,2,0,24.5998,Dean percer,Home Office,64,United States,Murray,Utah,84107,West,Office Supplies,Envelopes,Quality Park Security Envelopes
2879,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,OFF-AR-10001573,4.66,2,0,1.3514,Dean percer,Home Office,64,United States,Murray,Utah,84107,West,Office Supplies,Art,American Pencil
2880,CA-2016-152072,15-01-2016,19-01-2016,Standard Class,Dp-13240,TEC-AC-10000844,254.97,3,0,91.7892,Dean percer,Home Office,64,United States,Murray,Utah,84107,West,Technology,Accessories,Logitech Gaming G510s - Keyboard
2881,CA-2016-102932,19-09-2016,23-09-2016,Second Class,SD-20485,OFF-BI-10000756,25.44,6,0,12.72,Shirley Daniels,Home Office,70,United States,New Rochelle,New York,10801,East,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
2882,CA-2016-102932,19-09-2016,23-09-2016,Second Class,SD-20485,OFF-SU-10000381,27.93,3,0,8.0997,Shirley Daniels,Home Office,70,United States,New Rochelle,New York,10801,East,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles
2883,CA-2014-165540,21-02-2014,25-02-2014,Standard Class,TM-21010,OFF-BI-10004094,8.85,5,0.8,-13.7175,Tamara Manning,Consumer,31,United States,San Francisco,California,94122,West,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs
2884,CA-2016-130799,11-11-2016,16-11-2016,Second Class,BK-11260,FUR-FU-10001852,6.96,4,0,2.2272,Berenike Kampe,Consumer,37,United States,New York City,New York,10035,East,Furniture,Furnishings,Eldon Regeneration Recycled Desk Accessories  Smoke
2885,CA-2016-164483,30-01-2016,03-02-2016,Standard Class,JF-15490,OFF-BI-10000014,17.456,2,0.2,5.8914,Jeremy Farry,Consumer,38,United States,Seattle,Washington,98105,West,Office Supplies,Binders,Heavy-Duty E-Z-D Binders
2886,US-2016-159856,18-10-2016,22-10-2016,Standard Class,EP-13915,FUR-CH-10003396,307.92,5,0.2,-34.641,Emily Phan,Consumer,38,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,Global Deluxe Steno Chair
2887,CA-2017-102099,18-12-2017,19-12-2017,First Class,EP-13915,OFF-AR-10003811,6.63,3,0,1.7901,Emily Phan,Consumer,38,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,Newell 327
2888,CA-2017-102099,18-12-2017,19-12-2017,First Class,EP-13915,OFF-PA-10003172,12.96,2,0,6.2208,Emily Phan,Consumer,38,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,Xerox 1996
2889,CA-2017-102099,18-12-2017,19-12-2017,First Class,EP-13915,OFF-PA-10000289,32.4,5,0,15.552,Emily Phan,Consumer,38,United States,Chicago,Illinois,60653,Central,Office Supplies,Paper,Xerox 213
2890,CA-2017-164049,02-11-2017,06-11-2017,Standard Class,KH-16630,OFF-PA-10000791,23.85,5,0,10.7325,Ken Heidel,Corporate,34,United States,San Antonio,Texas,78207,Central,Office Supplies,Paper,Wirebound Message Books  Four 2 3/4 x 5 Forms per Page  200 Sets per Book
2891,CA-2014-142727,29-04-2014,01-05-2014,Second Class,HG-14845,FUR-CH-10002304,51.96,2,0,12.99,Harry Greene,Consumer,63,United States,Lake Charles,Louisiana,70601,South,Furniture,Chairs,Global Stack Chair without Arms  Black
2892,CA-2014-142727,29-04-2014,01-05-2014,Second Class,HG-14845,OFF-BI-10000136,17.94,3,0,8.6112,Harry Greene,Consumer,63,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders
2893,CA-2017-139913,23-10-2017,29-10-2017,Standard Class,JC-16105,OFF-PA-10003739,11.56,2,0,5.6644,Julie Creighton,Corporate,56,United States,Durham,North Carolina,27707,South,Office Supplies,Paper,Xerox 1969
2894,CA-2017-139913,23-10-2017,29-10-2017,Standard Class,JC-16105,OFF-PA-10002479,26.4,5,0,11.88,Julie Creighton,Corporate,56,United States,Durham,North Carolina,27707,South,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
2895,CA-2017-139913,23-10-2017,29-10-2017,Standard Class,JC-16105,FUR-FU-10000771,69.08,11,0,29.0136,Julie Creighton,Corporate,56,United States,Durham,North Carolina,27707,South,Furniture,Furnishings,Eldon 200 Class Desk Accessories  Smoke
2896,CA-2017-139913,23-10-2017,29-10-2017,Standard Class,JC-16105,TEC-PH-10001552,35.88,3,0,10.0464,Julie Creighton,Corporate,56,United States,Durham,North Carolina,27707,South,Technology,Phones,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
2897,CA-2014-169033,30-03-2014,03-04-2014,Standard Class,KM-16720,OFF-AR-10001915,49.65,5,0,20.853,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West,Office Supplies,Art,Peel-Off China Markers
2898,US-2016-164630,04-01-2016,09-01-2016,Standard Class,EB-13975,TEC-CO-10000971,959.968,4,0.2,119.996,Erica Bern,Corporate,53,United States,Fairfield,California,94533,West,Technology,Copiers,Hewlett Packard 310 Color Digital Copier
2899,US-2015-114839,26-04-2015,30-04-2015,Standard Class,PW-19240,FUR-CH-10004086,408.422,2,0.3,-5.8346,Pierre Wener,Consumer,70,United States,Louisville,Colorado,80027,West,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
2900,CA-2015-166464,12-09-2015,17-09-2015,Standard Class,PG-18895,TEC-CO-10000971,479.984,2,0.2,59.998,Paul Gonzalez,Consumer,64,United States,Rochester,Minnesota,55901,Central,Technology,Copiers,Hewlett Packard 310 Color Digital Copier
2901,CA-2015-166464,12-09-2015,17-09-2015,Standard Class,PG-18895,OFF-LA-10001317,12.6,4,0,6.048,Paul Gonzalez,Consumer,64,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 520
2902,CA-2017-124898,11-09-2017,15-09-2017,Standard Class,DB-12910,OFF-PA-10003656,184.66,7,0,84.9436,Daniel Byrd,Home Office,38,United States,Tampa,Florida,33614,South,Office Supplies,Paper,Xerox 1935
2903,CA-2016-164035,12-06-2016,17-06-2016,Standard Class,CR-12730,OFF-PA-10002160,23.12,5,0.2,8.381,Craig Reiter,Consumer,25,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 1978
2904,CA-2016-153577,27-06-2016,01-07-2016,Standard Class,KH-16330,OFF-PA-10000575,37.464,7,0.2,12.1758,Katharine Harms,Corporate,66,United States,Bowling Green,Kentucky,42104,South,Office Supplies,Paper,Wirebound Message Books  Four 2 3/4 x 5 White Forms per Page
2905,CA-2016-153577,27-06-2016,01-07-2016,Standard Class,KH-16330,FUR-CH-10003981,539.658,3,0.3,-7.7094,Katharine Harms,Corporate,66,United States,Bowling Green,Kentucky,42104,South,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs
2906,CA-2014-127586,26-09-2014,30-09-2014,Standard Class,CS-12400,OFF-ST-10002615,310.12,2,0,80.6312,Christopher Schild,Home Office,33,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Dual Level  Single-Width Filing Carts
2907,CA-2017-121615,03-11-2017,09-11-2017,Standard Class,DL-12925,OFF-PA-10000327,8.56,2,0,3.852,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Office Supplies,Paper,Xerox 1971
2908,CA-2017-121615,03-11-2017,09-11-2017,Standard Class,DL-12925,OFF-ST-10001325,52.4,5,0,14.148,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Office Supplies,Storage,Sterilite Officeware Hinged File Box
2909,CA-2017-121615,03-11-2017,09-11-2017,Standard Class,DL-12925,OFF-LA-10001771,14.94,3,0,6.8724,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Office Supplies,Labels,Avery 513
2910,CA-2017-166415,19-02-2017,23-02-2017,Standard Class,ME-17725,OFF-FA-10004968,11.22,3,0,0.2244,Max Engle,Consumer,50,United States,Aurora,Colorado,80013,West,Office Supplies,Fasteners,Rubber Band Ball
2911,CA-2015-118444,05-11-2015,09-11-2015,Standard Class,VD-21670,OFF-AP-10000576,387.136,4,0.2,24.196,Valerie Dominguez,Consumer,69,United States,Columbia,Tennessee,38401,South,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster II
2912,CA-2014-113929,16-06-2014,21-06-2014,Standard Class,CK-12205,OFF-EN-10003286,41.4,5,0,19.458,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,Staple envelope
2913,CA-2014-113929,16-06-2014,21-06-2014,Standard Class,CK-12205,OFF-AR-10003772,35,4,0,10.5,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,Boston 16750 Black Compact Battery Pencil Sharpener
2914,CA-2014-113929,16-06-2014,21-06-2014,Standard Class,CK-12205,OFF-BI-10002852,39.552,3,0.2,14.3376,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,Ibico Standard Transparent Covers
2915,CA-2015-134747,12-10-2015,17-10-2015,Second Class,DL-12925,TEC-PH-10002890,135.72,3,0,35.2872,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Technology,Phones,AT&T 17929 Lendline Telephone
2916,CA-2015-134747,12-10-2015,17-10-2015,Second Class,DL-12925,OFF-BI-10001308,12.56,2,0,5.652,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs
2917,CA-2015-134747,12-10-2015,17-10-2015,Second Class,DL-12925,TEC-PH-10001750,263.96,4,0,71.2692,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Technology,Phones,Samsung Rugby III
2918,CA-2017-155047,27-08-2017,30-08-2017,First Class,SE-20110,OFF-AR-10003338,5.952,1,0.2,0.372,Sanjit Engle,Consumer,28,United States,New York City,New York,10009,East,Office Supplies,Art,Eberhard Faber 3 1/2 Golf Pencils
2919,CA-2016-160129,23-11-2016,23-11-2016,Same Day,LS-17200,OFF-FA-10002763,15.8,5,0.2,2.37,Luke Schmidt,Corporate,59,United States,Skokie,Illinois,60076,Central,Office Supplies,Fasteners,Advantus Map Pennant Flags and Round Head Tacks
2920,CA-2016-160129,23-11-2016,23-11-2016,Same Day,LS-17200,FUR-FU-10002088,14.368,2,0.2,3.9512,Luke Schmidt,Corporate,59,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2
2921,CA-2016-160129,23-11-2016,23-11-2016,Same Day,LS-17200,FUR-FU-10003976,70.448,7,0.2,12.3284,Luke Schmidt,Corporate,59,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,DAX Executive Solid Wood Document Frame  Desktop or Hang  Mahogany  5 x 7
2922,CA-2017-164329,30-01-2017,30-01-2017,Same Day,MM-17920,OFF-ST-10001511,129.3,2,0,6.465,Michael Moore,Consumer,41,United States,San Francisco,California,94110,West,Office Supplies,Storage,Space Solutions Commercial Steel Shelving
2923,US-2015-141453,30-11-2015,03-12-2015,Second Class,DB-13270,OFF-BI-10000301,3.882,3,0.8,-5.823,Deborah Brumfield,Home Office,24,United States,San Diego,California,92024,West,Office Supplies,Binders,GBC Instant Report Kit
2924,CA-2014-156993,28-06-2014,04-07-2014,Standard Class,RW-19630,OFF-FA-10003495,6.08,1,0,3.04,Rob Williams,Corporate,23,United States,Dallas,Texas,75220,Central,Office Supplies,Fasteners,Staples
2925,CA-2014-157721,02-09-2014,05-09-2014,First Class,JM-16195,OFF-AP-10001303,19.9,1,0,8.955,Justin MacKendrick,Consumer,18,United States,Los Angeles,California,90004,West,Office Supplies,Appliances,Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day  Extended Life Filter
2926,CA-2014-157721,02-09-2014,05-09-2014,First Class,JM-16195,FUR-FU-10002116,70.71,1,0,4.9497,Justin MacKendrick,Consumer,18,United States,Los Angeles,California,90004,West,Furniture,Furnishings,Tenex Carpeted  Granite-Look or Clear Contemporary Contour Shape Chair Mats
2927,CA-2017-128629,10-07-2017,14-07-2017,Second Class,BP-11155,FUR-FU-10000771,18.84,3,0,7.9128,Becky Pak,Consumer,46,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,Eldon 200 Class Desk Accessories  Smoke
2928,CA-2017-158106,04-06-2017,10-06-2017,Standard Class,CT-11995,OFF-AR-10002255,8.64,3,0,2.5056,Carol Triggs,Consumer,57,United States,Rochester,Minnesota,55901,Central,Office Supplies,Art,Newell 346
2929,US-2017-120390,19-10-2017,26-10-2017,Standard Class,TH-21550,OFF-BI-10004995,1633.188,4,0.7,-1306.5504,Tracy Hopkins,Home Office,48,United States,New York City,New York,10035,East,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
2930,CA-2017-143434,18-11-2017,24-11-2017,Standard Class,ME-17320,FUR-FU-10002597,19.76,4,0,8.2992,Maria Etezadi,Home Office,48,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,C-Line Magnetic Cubicle Keepers  Clear Polypropylene
2931,CA-2015-168564,08-08-2015,08-08-2015,Same Day,TT-21220,OFF-BI-10004970,6.608,2,0.2,2.2302,Thomas Thornton,Consumer,47,United States,Houston,Texas,77041,Central,Office Supplies,Binders,ACCOHIDE 3-Ring Binder  Blue  1
2932,CA-2015-168564,08-08-2015,08-08-2015,Same Day,TT-21220,OFF-BI-10002557,7.28,2,0.2,2.73,Thomas Thornton,Consumer,47,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Presstex Flexible Ring Binders
2933,CA-2015-168564,08-08-2015,08-08-2015,Same Day,TT-21220,FUR-CH-10000785,144.784,1,0.2,10.8588,Thomas Thornton,Consumer,47,United States,Houston,Texas,77041,Central,Furniture,Chairs,Global Ergonomic Managers Chair
2934,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,TEC-PH-10002310,156.792,1,0.2,13.7193,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Technology,Phones,Panasonic KX T7731-B Digital phone
2935,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,TEC-PH-10002834,431.976,3,0.2,26.9985,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Technology,Phones,Google Nexus 5
2936,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,OFF-EN-10000927,35.89,1,0,16.1505,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Office Supplies,Envelopes,Jet-Pak Recycled Peel N Seal Padded Mailers
2937,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,OFF-BI-10001636,47.208,7,0.2,15.3426,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs
2938,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,OFF-PA-10001736,248.08,7,0,116.5976,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Office Supplies,Paper,Xerox 1880
2939,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,OFF-PA-10000482,189.7,5,0,89.159,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate
2940,US-2016-169040,06-12-2016,12-12-2016,Standard Class,GT-14710,OFF-BI-10001658,59.808,3,0.2,19.4376,Greg Tran,Consumer,67,United States,Houston,Texas,77070,Central,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers
2941,CA-2017-155880,25-03-2017,31-03-2017,Standard Class,JD-16150,FUR-CH-10000422,90.99,1,0,14.5584,Justin Deggeller,Corporate,37,United States,Minneapolis,Minnesota,55407,Central,Furniture,Chairs,Global Highback Leather Tilter in Burgundy
2942,CA-2017-155880,25-03-2017,31-03-2017,Standard Class,JD-16150,FUR-CH-10004675,1526.56,7,0,427.4368,Justin Deggeller,Corporate,37,United States,Minneapolis,Minnesota,55407,Central,Furniture,Chairs,Lifetime Advantage Folding Chairs  4/Carton
